% Model,Meta_Atom1_Loss_Less.mph
% Version,COMSOL 6.1.0.357
% Date,"Mar 7 2024, 17:51"
% Dimension,3
% Nodes,16788
% Expressions,1
% Description,Slice
% X,Y,Z,imag(ewfd2.Ey)
-9.607186156115053E-8,-1.036134184717322E-7,-5.775000000000002E-7,-585000.9329663131
-9.145578387101813E-8,-1.00784990409774E-7,-5.775000000000002E-7,-524279.977055923
-9.106741207229043E-8,-1.0616191096491845E-7,-5.775000000000002E-7,-629053.1868217388
-1.0889091974986428E-7,-8.119872780463856E-8,-5.775000000000002E-7,-81537.1866552867
-1.1948107967275926E-7,-8.768767957652329E-8,-5.775000000000002E-7,-282337.13696182903
-1.1948107967275918E-7,-7.51184002427265E-8,-5.775000000000002E-7,78037.63436054881
-1.0867363424992094E-7,-8.144282173609693E-8,-5.775000000000002E-7,-74783.86869927568
-1.0212030306701221E-7,-8.880469527575794E-8,-5.775000000000002E-7,-255670.29394605727
-1.0963469599331365E-7,-8.840032110514064E-8,-5.775000000000002E-7,-241281.67277927534
-1.0006470906046954E-7,-9.111390607293537E-8,-5.775000000000002E-7,-308700.00166523905
-9.534968638416027E-8,-9.641066274687736E-8,-5.775000000000002E-7,-430485.3152802763
-1.0075617845015152E-7,-9.611972164670116E-8,-5.775000000000002E-7,-419294.7352321038
-1.1918934213219711E-7,-8.788615420625127E-8,-5.775000000000002E-7,-286705.800484037
-1.0763060184667383E-7,-9.574978633899173E-8,-5.775000000000002E-7,-447453.08064959873
-1.1039053723131607E-7,-9.387214949978165E-8,-5.775000000000002E-7,-410920.5704377263
-1.0129999478987288E-7,-1.0005661942304002E-7,-5.775000000000002E-7,-526497.6868226898
-1.048329409656842E-7,-1.1748199705181203E-7,-5.775000000000002E-7,-763298.925867798
-1.0860603645202078E-7,-1.155605658245795E-7,-5.775000000000002E-7,-754110.0056704748
-1.0483359163190919E-7,-1.1366931855122693E-7,-5.775000000000002E-7,-737517.3478203244
-1.128369063401593E-7,-1.2149464095048053E-7,-5.775000000000002E-7,-830881.9448631568
-1.1661000182649588E-7,-1.19573209723248E-7,-5.775000000000002E-7,-829371.5535865893
-1.1661138233971307E-7,-1.114838808774026E-7,-5.775000000000002E-7,-747267.6269449104
-1.1283893751960147E-7,-1.0959263360405002E-7,-5.775000000000002E-7,-707036.3141143012
-1.1660935116027087E-7,-1.233858882238331E-7,-5.775000000000002E-7,-865621.530792278
-1.010604961455726E-7,-1.1559074977845947E-7,-5.775000000000002E-7,-744094.0315768993
-1.1661203300593807E-7,-1.0767120237681749E-7,-5.775000000000002E-7,-693576.4728221026
-1.036527027127091E-7,-1.0187725952464304E-7,-5.775000000000002E-7,-565827.9800917094
-1.1005227803025276E-7,-9.622819707998623E-8,-5.775000000000002E-7,-477924.36957614997
-1.116325334777565E-7,-9.483326675125245E-8,-5.775000000000002E-7,-452383.06967541354
-1.194453241590832E-7,-8.793672436587626E-8,-5.775000000000002E-7,-322128.8257624073
-1.1459475736555607E-7,-9.712558002469644E-8,-5.775000000000002E-7,-500823.35901863384
-1.1683407266163882E-7,-9.88584713830366E-8,-5.775000000000002E-7,-530587.4063379663
-1.1802867858251063E-7,-9.780396337134687E-8,-5.775000000000002E-7,-508682.04374186305
-1.0868242656891065E-7,-1.0576950507867283E-7,-5.775000000000002E-7,-652361.8992817409
-1.088542418965914E-7,-1.0590246415642718E-7,-5.775000000000002E-7,-654605.683411942
-1.1008863716484194E-7,-1.0481283310972005E-7,-5.775000000000002E-7,-636635.292587583
-1.0065923190142231E-7,-1.045196697940962E-7,-5.775000000000002E-7,-602564.9906320265
-1.0863563245368021E-7,-1.0609543608545684E-7,-5.775000000000002E-7,-647479.8447979423
-1.0830062251447082E-7,-1.0602925368074706E-7,-5.775000000000002E-7,-646028.9767535494
-1.1777296901035385E-7,-9.958503515541447E-8,-5.775000000000002E-7,-544232.8544532926
-1.0926403014627791E-7,-1.0621957828406847E-7,-5.775000000000002E-7,-650880.2435919093
-1.1927153699640276E-7,-8.914718907109864E-8,-5.775000000000002E-7,-345789.59320331574
-9.329923265902908E-8,-1.0826771498085417E-7,-5.775000000000002E-7,-653943.9302465942
-9.701687732612655E-8,-1.1177544813660753E-7,-5.775000000000002E-7,-709402.2623770928
-9.922133797328484E-8,-1.0738403662245785E-7,-5.775000000000002E-7,-630963.3543144763
-9.748558877224902E-8,-1.1221769445847793E-7,-5.775000000000002E-7,-715701.9163157139
-1.0639756438047298E-7,-1.105537955117421E-7,-5.775000000000002E-7,-692148.402177984
-9.717986440230084E-8,-1.1192923237965683E-7,-5.775000000000002E-7,-711139.3742465472
-9.807856109422525E-8,-2.0923722244264356E-7,-5.775000000000002E-7,-250902.9103678804
-1.0033363582921086E-7,-2.085659290031072E-7,-5.775000000000002E-7,-240308.29527136212
-9.850776418840739E-8,-2.0688089320490258E-7,-5.775000000000002E-7,-278626.93949611095
-1.0777538245466305E-7,-2.063506606526374E-7,-5.775000000000002E-7,-214414.0325678104
-1.1003045718964875E-7,-2.0567936721310103E-7,-5.775000000000002E-7,-205030.93450231617
-1.082045855488452E-7,-2.0399433141489635E-7,-5.775000000000002E-7,-246455.514827261
-1.00762838923393E-7,-2.0620959976536623E-7,-5.775000000000002E-7,-272349.77753081167
-9.891726561840987E-8,-2.1634181548765207E-7,-5.775000000000002E-7,-132596.53989031774
-1.0635901224386205E-7,-2.141265471371822E-7,-5.775000000000002E-7,-87906.09990329585
-1.02179209134194E-7,-1.9843371328082137E-7,-5.775000000000002E-7,-384236.83607668756
-1.0962095575964617E-7,-1.9621844493035157E-7,-5.775000000000002E-7,-377041.50473308365
-1.104596602838309E-7,-2.0332303797535998E-7,-5.775000000000002E-7,-241294.88285584748
-9.666219088342426E-8,-2.1701310892718845E-7,-5.775000000000002E-7,-148393.06608504528
-9.992413439920839E-8,-1.991050067203577E-7,-5.775000000000002E-7,-388668.4729638209
-1.0861408697884775E-7,-2.1345525369764582E-7,-5.775000000000002E-7,-77783.89577046964
-1.1187603049463187E-7,-1.955471514908152E-7,-5.775000000000002E-7,-369974.3738437522
-9.99482134394956E-8,-1.9687822908262286E-7,-5.775000000000002E-7,-416125.26268492854
-1.0225866996714192E-7,-1.9108534707629674E-7,-5.775000000000002E-7,-477657.7523210674
-1.0002767427244356E-7,-1.8952986287809826E-7,-5.775000000000002E-7,-502205.53582025145
-1.0228274900742917E-7,-1.888585694385619E-7,-5.775000000000002E-7,-502592.2102834767
-1.0964503479993342E-7,-1.9399166729261665E-7,-5.775000000000002E-7,-410127.35670109617
-1.0005175331273083E-7,-1.8730308524036345E-7,-5.775000000000002E-7,-529940.9670369738
-1.0477861360063018E-7,-1.8769159498551544E-7,-5.775000000000002E-7,-500687.2182265805
-1.121408993931345E-7,-1.9282469283957017E-7,-5.775000000000002E-7,-404137.73344597005
-1.025476179059318E-7,-1.86136110787317E-7,-5.775000000000002E-7,-537660.1163032185
-1.1301496675819313E-7,-1.838405792904624E-7,-5.775000000000002E-7,-518629.3068621785
-1.1078397106349468E-7,-1.8228509509226385E-7,-5.775000000000002E-7,-560008.7723824636
-1.1327983565669577E-7,-1.8111812063921736E-7,-5.775000000000002E-7,-564389.4577020053
-1.1785486115157143E-7,-1.9990658856349675E-7,-5.775000000000002E-7,-247008.41338113544
-1.1791733457577766E-7,-1.9926445460528327E-7,-5.775000000000002E-7,-264597.0012573271
-1.1755773456730331E-7,-1.9953832927588668E-7,-5.775000000000002E-7,-264824.6435782133
-1.174737023585698E-7,-1.9943417958695616E-7,-5.775000000000002E-7,-267176.6959136831
-1.1859497012627389E-7,-1.8790921326661706E-7,-5.775000000000002E-7,-416432.04550061165
-1.1868289762158911E-7,-1.8797332519832736E-7,-5.775000000000002E-7,-414598.50656331383
-1.2321189222142382E-7,-2.0381264330654512E-7,-5.775000000000002E-7,-123619.24513425512
-1.2411350600503336E-7,-1.9454539351185039E-7,-5.775000000000002E-7,-256596.00377166155
-1.1745603386271263E-7,-1.9961578546696984E-7,-5.775000000000002E-7,-256100.85208237226
-1.1754396135802784E-7,-1.9967989739868014E-7,-5.775000000000002E-7,-254152.8849353964
-1.1869667083086457E-7,-1.8783175707553387E-7,-5.775000000000002E-7,-421560.96862350294
-1.189937974151327E-7,-1.88200016363144E-7,-5.775000000000002E-7,-412849.16664025775
-1.1861263862213105E-7,-1.877276073866034E-7,-5.775000000000002E-7,-423965.40828100685
-1.2472694734233315E-7,-2.0491733882983814E-7,-5.775000000000002E-7,-63934.87463992296
-1.2556144248618326E-7,-1.9633996890592467E-7,-5.775000000000002E-7,-217870.33388549124
-1.1563909122419999E-7,-2.0959081854678427E-7,-5.775000000000002E-7,-87993.12873163212
-1.2282732633509254E-7,-2.059239138311132E-7,-5.775000000000002E-7,-61363.87072667584
-1.1572070665697015E-7,-2.096895837643795E-7,-5.775000000000002E-7,-67690.54395652379
-1.1611052203121719E-7,-2.0948302760958117E-7,-5.775000000000002E-7,-67368.31618432316
-1.156104605577295E-7,-2.097480011892557E-7,-5.775000000000002E-7,-67785.71932023852
-1.0557720011530071E-7,-1.5651263813110517E-7,-5.775000000000002E-7,-822264.1467891422
-1.1149601247295801E-7,-1.6281946258280947E-7,-5.775000000000002E-7,-796400.1693454904
-1.1399187706615903E-7,-1.6165248812976303E-7,-5.775000000000002E-7,-804538.0262282001
-1.0308133552209961E-7,-1.5767961258415165E-7,-5.775000000000002E-7,-817249.7933077314
-1.1404591457927885E-7,-1.6437699288543315E-7,-5.775000000000002E-7,-782907.2650787842
-1.032596593153951E-7,-1.666704782778626E-7,-5.775000000000002E-7,-759011.728983449
-1.0580956142171591E-7,-1.6822800858048626E-7,-5.775000000000002E-7,-745727.4508883612
-1.1654177917247984E-7,-1.632100184323867E-7,-5.775000000000002E-7,-782816.48264478
-1.030272980089798E-7,-1.5495510782848143E-7,-5.775000000000002E-7,-826803.9747845961
-1.0331369682851493E-7,-1.693949830335327E-7,-5.775000000000002E-7,-735524.5319202197
-1.0189732661771395E-7,-1.7717086951807758E-7,-5.775000000000002E-7,-639745.2922027519
-1.0146812352353182E-7,-1.7952719875581856E-7,-5.775000000000002E-7,-616490.5051838388
-1.0439319121091494E-7,-1.7600389506503112E-7,-5.775000000000002E-7,-650813.9786112681
-1.1262954436847783E-7,-1.7215287936997801E-7,-5.775000000000002E-7,-683390.6413397494
-1.1220034127429568E-7,-1.7450920860771907E-7,-5.775000000000002E-7,-658985.8505879538
-1.1512540896167891E-7,-1.7098590491693152E-7,-5.775000000000002E-7,-687707.6703882487
-1.039639881167328E-7,-1.7836022430277212E-7,-5.775000000000002E-7,-626409.1878594732
-1.1469620586749677E-7,-1.7334223415467258E-7,-5.775000000000002E-7,-661364.7557603999
-1.0820919349782598E-7,-1.5523565593099617E-7,-5.775000000000002E-7,-818324.3533495443
-1.0565929139150509E-7,-1.5367812562837244E-7,-5.775000000000002E-7,-836038.1960581862
-1.1662387044868422E-7,-1.6037550592965409E-7,-5.775000000000002E-7,-804288.9432352716
-1.1689477166015869E-7,-1.5102161467063676E-7,-5.775000000000002E-7,-860076.6944316444
-1.1434486955383786E-7,-1.494640843680131E-7,-5.775000000000002E-7,-869229.7376701382
