% Model,Meta_Atom1_Loss_Less.mph
% Version,COMSOL 6.1.0.357
% Date,"Mar 7 2024, 17:50"
% Dimension,3
% Nodes,19669
% Expressions,1
% Description,Slice
% X,Y,Z,real(ewfd2.Ey)
-1.0643219097924281E-7,-1.7377462242351063E-7,-4.6750000000000013E-7,-666896.2129539606
-1.0436356768280737E-7,-1.754413132564259E-7,-4.675000000000001E-7,-600186.6341304587
-1.0730383101993912E-7,-1.7396963583013386E-7,-4.6750000000000013E-7,-681397.4864353676
-1.0781027341261141E-7,-1.7692860263919594E-7,-4.675000000000001E-7,-639326.6523835263
-9.854737304564744E-8,-1.801274242080473E-7,-4.6750000000000013E-7,-412414.8590470304
-1.0874839395301706E-7,-1.8240971476986213E-7,-4.6750000000000013E-7,-562901.0476375514
-1.0716886612658009E-7,-1.7318108288587743E-7,-4.6750000000000013E-7,-701621.1422314566
-1.253266985155838E-7,-1.3596084545380013E-7,-4.6750000000000013E-7,-1472521.7145294584
-1.2441550259940103E-7,-1.3656576786783804E-7,-4.6750000000000013E-7,-1458171.689471744
-1.2504787689322072E-7,-1.3688066536134682E-7,-4.6750000000000013E-7,-1449569.8789624998
-1.244039049138155E-7,-1.3831060609449613E-7,-4.6750000000000013E-7,-1427421.2884696478
-1.2607938559962362E-7,-1.3633964710401515E-7,-4.675000000000001E-7,-1445208.9783491823
-1.8935633883609336E-7,-2.4684715198310017E-7,-4.675000000000002E-7,-288287.258757162
-1.81230475444557E-7,-2.4918562575618483E-7,-4.6750000000000013E-7,-95510.15882278209
-1.875939853575701E-7,-2.506308514365561E-7,-4.675000000000001E-7,-233565.34369905948
-1.818147066565365E-7,-2.47707529462483E-7,-4.675000000000001E-7,-86705.99871101603
-1.7919354342159767E-7,-2.543390335370834E-7,-4.675000000000001E-7,10178.462963720547
-1.7940529862617615E-7,-2.4877110728364377E-7,-4.6750000000000013E-7,-26336.695220002046
-1.7667823988088878E-7,-2.5462598873043055E-7,-4.6750000000000013E-7,76359.39372493884
-1.733191253054902E-7,-2.550092090284416E-7,-4.675000000000002E-7,168999.18628138967
-1.6800678993451565E-7,-2.538027170757573E-7,-4.6750000000000013E-7,286905.262674093
-1.6711517420980622E-7,-2.557169788690854E-7,-4.675000000000001E-7,343273.5961355807
-1.759492461076139E-7,-2.502967022684665E-7,-4.6750000000000013E-7,68873.25202546397
-1.8624130555197138E-7,-2.5353499859177564E-7,-4.6750000000000013E-7,-181811.9428739401
-1.9080380731783665E-7,-2.4373949749153016E-7,-4.6750000000000013E-7,-282656.04528098693
-1.6246965831355034E-7,-2.562469566195368E-7,-4.6750000000000013E-7,484744.6975771268
-1.8308233902475397E-7,-2.3434811621093855E-7,-4.6750000000000013E-7,-108378.93668662853
-1.7607767029549903E-7,-2.3744016629591298E-7,-4.6750000000000013E-7,11581.349723632702
-1.822593739123882E-7,-2.375761521262879E-7,-4.675000000000002E-7,-90196.2505705659
-1.74771617853166E-7,-2.252168470760425E-7,-4.6750000000000013E-7,-56078.82030685351
-1.699788434609336E-7,-2.373060035985709E-7,-4.6750000000000013E-7,105245.4803303673
-1.7220005417438326E-7,-2.3735486604847563E-7,-4.6750000000000013E-7,77456.97794426423
-1.7536087073167125E-7,-2.2495673493034685E-7,-4.6750000000000013E-7,-37358.08538384717
-1.6862063808335812E-7,-2.407319018477897E-7,-4.6750000000000013E-7,168355.7713627541
-1.6492479704817858E-7,-2.5005418516433417E-7,-4.675000000000001E-7,328416.7175568311
-1.6893993389743498E-7,-2.501425106086378E-7,-4.6750000000000013E-7,253660.35163622967
-1.7168383033309347E-7,-2.393797260030521E-7,-4.6750000000000013E-7,96462.37041182892
-1.7600578710343777E-7,-2.446363873487834E-7,-4.6750000000000013E-7,40682.749456555546
-1.8580043261245714E-7,-2.376540487446925E-7,-4.6750000000000013E-7,-161478.88020776297
