% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:41"
% Dimension,3
% Nodes,34928
% Expressions,1
% Description,Slice
% X,Y,Z,imag(ewfd.Ey)
9.235291205601559E-8,2.4363715674944616E-7,-1.5640000000000002E-6,-1.7876619408196654E7
9.196246713673655E-8,2.4408578173377697E-7,-1.5640000000000002E-6,-1.7876098023892947E7
9.266071064373725E-8,2.441594257684149E-7,-1.5640000000000002E-6,-1.78892913432459E7
8.613802477193043E-8,2.5077812228073964E-7,-1.5640000000000002E-6,-1.7868984927957326E7
8.574757985265139E-8,2.5122674726507045E-7,-1.5640000000000002E-6,-1.7868484615169153E7
8.644582335965207E-8,2.513003912997084E-7,-1.5640000000000002E-6,-1.7882223401282836E7
7.992313748784544E-8,2.5791908781203306E-7,-1.5640000000000002E-6,-1.78616858525023E7
7.953269256856623E-8,2.5836771279636403E-7,-1.5640000000000002E-6,-1.786120661122966E7
8.023093607556722E-8,2.5844135683100203E-7,-1.5640000000000002E-6,-1.787539309314338E7
9.72522805314024E-8,2.519503474828637E-7,-1.5640000000000002E-6,-1.7879743480652206E7
9.686183561212336E-8,2.523989724671945E-7,-1.5640000000000002E-6,-1.787928483605041E7
9.756007911912406E-8,2.5247261650183245E-7,-1.5640000000000002E-6,-1.7879083793296784E7
9.103739324731723E-8,2.590913130141572E-7,-1.5640000000000002E-6,-1.787267815427688E7
9.06469483280382E-8,2.59539937998488E-7,-1.5640000000000002E-6,-1.7872234438814558E7
9.134519183503891E-8,2.5961358203312593E-7,-1.5640000000000002E-6,-1.787201864225892E7
1.0215164900678922E-7,2.602635382162812E-7,-1.5640000000000002E-6,-1.7869393404605426E7
1.0176120408751018E-7,2.60712163200612E-7,-1.5640000000000002E-6,-1.786893493534109E7
1.0245944759451089E-7,2.6078580723524993E-7,-1.5640000000000002E-6,-1.7868724162929226E7
9.65540370244017E-8,2.5187670344822576E-7,-1.5640000000000002E-6,-1.787993479374759E7
9.033914974031655E-8,2.5901766897951923E-7,-1.5640000000000002E-6,-1.7872884221174277E7
1.0145340549978852E-7,2.6018989418164324E-7,-1.5640000000000002E-6,-1.786959444735905E7
1.0307672289620852E-7,2.45258006935901E-7,-1.5640000000000002E-6,-1.7883850804445237E7
1.0276892430848686E-7,2.447357379169322E-7,-1.5640000000000002E-6,-1.7884469429257825E7
1.0797609137159533E-7,2.5357119766931846E-7,-1.5640000000000002E-6,-1.7874080885636244E7
1.0766829278387367E-7,2.530489286503497E-7,-1.5640000000000002E-6,-1.7874704957476027E7
1.1287545984698216E-7,2.618843884027361E-7,-1.5640000000000002E-6,-1.786422426404684E7
1.1256766125926038E-7,2.6136211938376714E-7,-1.5640000000000002E-6,-1.7864853782913826E7
8.482250596323211E-8,2.662322785454508E-7,-1.5640000000000002E-6,-1.7852648432432003E7
9.593676172270408E-8,2.674045037475747E-7,-1.5640000000000002E-6,-1.785516814130799E7
1.070510174821762E-7,2.6857672894969866E-7,-1.5640000000000002E-6,-1.785746673284428E7
8.41242624562314E-8,2.661586345108128E-7,-1.5640000000000002E-6,-1.7852443608016755E7
