% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:46"
% Dimension,3
% Nodes,35935
% Expressions,1
% Description,Slice
% X,Y,Z,imag(ewfd.Ey)
-3.8903664384399723E-7,-4.0413424587520087E-7,-1.487792915531335E-6,-4.005970753668073E7
-3.8885480688448944E-7,-4.035972901602731E-7,-1.487792915531335E-6,-4.008226228323201E7
-3.886930685923013E-7,-4.038391372797485E-7,-1.487792915531335E-6,-4.008435319018498E7
-3.869199032982662E-7,-4.097735939458934E-7,-1.487792915531335E-6,-4.007981568341285E7
-3.861818503930096E-7,-4.075941595422973E-7,-1.487792915531335E-6,-4.009539899714099E7
-3.855253754015458E-7,-4.0857578599293716E-7,-1.487792915531335E-6,-4.0098543602765694E7
-3.833585716515185E-7,-3.9925715446268374E-7,-1.487792915531335E-6,-4.0082610796733886E7
-3.8292367113416236E-7,-3.9797291434531955E-7,-1.487792915531335E-6,-4.007890494948496E7
-3.825368407167416E-7,-3.9855134151252293E-7,-1.487792915531335E-6,-4.008377994005205E7
-3.797972400047708E-7,-3.8874071497947414E-7,-1.487792915531335E-6,-4.00648470172972E7
-3.7966549187531507E-7,-3.8835166914834175E-7,-1.487792915531335E-6,-4.006372873120737E7
-3.7954830603193746E-7,-3.885268970321086E-7,-1.487792915531335E-6,-4.007035772308852E7
-3.911533843897283E-7,-3.9849489780450845E-7,-1.4877929155313349E-6,-4.0027665276748635E7
-3.8826958411712205E-7,-3.899791755812712E-7,-1.487792915531335E-6,-4.00291635640196E7
-3.85704533907497E-7,-3.938146927993342E-7,-1.487792915531335E-6,-4.006176100738439E7
-3.8690048478904614E-7,-3.9782627187664917E-7,-1.487792915531335E-6,-4.007337468275687E7
-3.8559662762564215E-7,-3.9397604496329524E-7,-1.487792915531335E-6,-4.006221196648376E7
-3.850136330813162E-7,-3.948477961689476E-7,-1.487792915531335E-6,-4.0069603663862295E7
-3.8275331711296516E-7,-3.912797912346529E-7,-1.487792915531335E-6,-4.0065688620268315E7
-3.8547531219724954E-7,-3.9361780639199137E-7,-1.487792915531335E-6,-4.0061661601539195E7
-3.8233844836679497E-7,-3.8435479976631766E-7,-1.4877929155313349E-6,-4.003490971890492E7
-3.8029862190432727E-7,-3.8740495039857347E-7,-1.487792915531335E-6,-4.0060878171674505E7
-3.855703517134623E-7,-3.9336460534972164E-7,-1.487792915531335E-6,-4.006094084090731E7
-3.897286442583047E-7,-4.0229064193932246E-7,-1.487792915531335E-6,-4.005355783976485E7
-3.8889419125663726E-7,-4.045137632068425E-7,-1.487792915531335E-6,-4.006233490367569E7
-3.914466760032022E-7,-3.9771352027671925E-7,-1.4877929155313349E-6,-4.002513810784525E7
-3.888722270982527E-7,-3.890780440861456E-7,-1.487792915531335E-6,-4.0130432526632495E7
-3.827159992226929E-7,-3.8379024831891995E-7,-1.487792915531335E-6,-4.01584383038467E7
-3.782495075719831E-7,-3.8417033623351357E-7,-1.487792915531335E-6,-4.006481187722051E7
-3.8759205274298074E-7,-3.879784583212989E-7,-1.487792915531335E-6,-4.01343629397079E7
-3.8191398055050185E-7,-3.8310136690878177E-7,-1.487792915531335E-6,-4.016091402813639E7
-3.830178669668973E-7,-4.001648482798448E-7,-1.487792915531335E-6,-4.008760436419187E7
-3.7969402742372233E-7,-3.890156904227237E-7,-1.487792915531335E-6,-4.0071509540861666E7
-3.863417065100723E-7,-4.1131400613696583E-7,-1.487792915531335E-6,-4.007758011896624E7
-3.932701249354593E-7,-3.92855549733816E-7,-1.487792915531335E-6,-4.0053388943455905E7
-3.7655977134713326E-7,-3.785024525516943E-7,-1.487792915531335E-6,-4.006024496425896E7
-3.997117251809635E-7,-3.9006129669954914E-7,-1.487792915531335E-6,-4.015411083628686E7
-3.994922401602679E-7,-3.898727734696E-7,-1.487792915531335E-6,-4.02407449534952E7
-3.989968783823568E-7,-3.9037138468388764E-7,-1.487792915531335E-6,-4.015271556500544E7
-4.0615332542646765E-7,-3.8726704366528235E-7,-1.487792915531335E-6,-4.016792383030668E7
-3.9975701472827786E-7,-3.896062620535908E-7,-1.487792915531335E-6,-4.024422732472555E7
-4.0005009164337E-7,-3.899145192718543E-7,-1.487792915531335E-6,-4.0156396451801896E7
-4.039560253467234E-7,-3.853797070858287E-7,-1.487792915531335E-6,-4.027303110614473E7
-4.1259492567197177E-7,-3.844727906310156E-7,-1.487792915531335E-6,-4.019616743449424E7
-4.066067264176156E-7,-3.8271161814839727E-7,-1.487792915531335E-6,-4.030763546067861E7
-4.095407668676762E-7,-3.8579763107140023E-7,-1.487792915531335E-6,-4.019059170342785E7
-4.0841981053317886E-7,-3.8088664070205744E-7,-1.487792915531335E-6,-4.0173207916866064E7
-3.9403365298848475E-7,-3.85184205287032E-7,-1.487792915531335E-6,-4.0276768797586896E7
-3.933360122847082E-7,-3.845849777023743E-7,-1.487792915531335E-6,-4.028264354797808E7
-3.9176148779884244E-7,-3.861698306337686E-7,-1.487792915531335E-6,-4.0271715925783046E7
-4.0047525323398886E-7,-3.8238995225276523E-7,-1.487792915531335E-6,-4.0295975395512715E7
-3.941776073757227E-7,-3.837378619801263E-7,-1.487792915531335E-6,-4.0293698238124706E7
-3.9510916245250006E-7,-3.847176681737883E-7,-1.487792915531335E-6,-4.0284391680196166E7
-3.977997974711636E-7,-3.8009191131860303E-7,-1.487792915531335E-6,-4.016140484525654E7
