% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:46"
% Dimension,3
% Nodes,35935
% Expressions,1
% Description,Slice
% X,Y,Z,imag(ewfd2.Ey)
-3.8903664384399723E-7,-4.0413424587520087E-7,-1.487792915531335E-6,-1.7980055695043853
-3.8885480688448944E-7,-4.035972901602731E-7,-1.487792915531335E-6,-1.7898389845042608
-3.886930685923013E-7,-4.038391372797485E-7,-1.487792915531335E-6,-1.7889560270988627
-3.869199032982662E-7,-4.097735939458934E-7,-1.487792915531335E-6,-1.7926871860802174
-3.861818503930096E-7,-4.075941595422973E-7,-1.487792915531335E-6,-1.7899967400901655
-3.855253754015458E-7,-4.0857578599293716E-7,-1.487792915531335E-6,-1.815952998554205
-3.833585716515185E-7,-3.9925715446268374E-7,-1.487792915531335E-6,-1.8092379630908684
-3.8292367113416236E-7,-3.9797291434531955E-7,-1.487792915531335E-6,-1.8127326699255466
-3.825368407167416E-7,-3.9855134151252293E-7,-1.487792915531335E-6,-1.8278701352609996
-3.797972400047708E-7,-3.8874071497947414E-7,-1.487792915531335E-6,-1.832615575915414
-3.7966549187531507E-7,-3.8835166914834175E-7,-1.487792915531335E-6,-1.833614234527042
-3.7954830603193746E-7,-3.885268970321086E-7,-1.487792915531335E-6,-1.837669526361914
-3.911533843897283E-7,-3.9849489780450845E-7,-1.4877929155313349E-6,-1.8059546055962634
-3.8826958411712205E-7,-3.899791755812712E-7,-1.487792915531335E-6,-1.8215084718118804
-3.85704533907497E-7,-3.938146927993342E-7,-1.487792915531335E-6,-1.814295908934291
-3.8690048478904614E-7,-3.9782627187664917E-7,-1.487792915531335E-6,-1.803651739272239
-3.8559662762564215E-7,-3.9397604496329524E-7,-1.487792915531335E-6,-1.8146262897825796
-3.850136330813162E-7,-3.948477961689476E-7,-1.487792915531335E-6,-1.8132176059746778
-3.8275331711296516E-7,-3.912797912346529E-7,-1.487792915531335E-6,-1.8229888321296628
-3.8547531219724954E-7,-3.9361780639199137E-7,-1.487792915531335E-6,-1.8154440721405773
-3.8233844836679497E-7,-3.8435479976631766E-7,-1.4877929155313349E-6,-1.8404179027056244
-3.8029862190432727E-7,-3.8740495039857347E-7,-1.487792915531335E-6,-1.8341704314307299
-3.855703517134623E-7,-3.9336460534972164E-7,-1.487792915531335E-6,-1.8153530310806119
-3.897286442583047E-7,-4.0229064193932246E-7,-1.487792915531335E-6,-1.7997841171872984
-3.8889419125663726E-7,-4.045137632068425E-7,-1.487792915531335E-6,-1.79692806824263
-3.914466760032022E-7,-3.9771352027671925E-7,-1.4877929155313349E-6,-1.8057602066800094
-3.888722270982527E-7,-3.890780440861456E-7,-1.487792915531335E-6,-1.8021399566141696
-3.827159992226929E-7,-3.8379024831891995E-7,-1.487792915531335E-6,-1.7866863067643246
-3.782495075719831E-7,-3.8417033623351357E-7,-1.487792915531335E-6,-1.8410775800885029
-3.8759205274298074E-7,-3.879784583212989E-7,-1.487792915531335E-6,-1.8006441805498683
-3.8191398055050185E-7,-3.8310136690878177E-7,-1.487792915531335E-6,-1.785542924948348
-3.830178669668973E-7,-4.001648482798448E-7,-1.487792915531335E-6,-1.8256107582897998
-3.7969402742372233E-7,-3.890156904227237E-7,-1.487792915531335E-6,-1.8370745127721497
-3.863417065100723E-7,-4.1131400613696583E-7,-1.487792915531335E-6,-1.835388580652876
-3.932701249354593E-7,-3.92855549733816E-7,-1.487792915531335E-6,-1.8282005743794314
-3.7655977134713326E-7,-3.785024525516943E-7,-1.487792915531335E-6,-1.8231464826813613
-3.997117251809635E-7,-3.9006129669954914E-7,-1.487792915531335E-6,-1.8408003916795108
-3.994922401602679E-7,-3.898727734696E-7,-1.487792915531335E-6,-1.7984914897510784
-3.989968783823568E-7,-3.9037138468388764E-7,-1.487792915531335E-6,-1.8406713906867789
-4.0615332542646765E-7,-3.8726704366528235E-7,-1.487792915531335E-6,-1.846454979151373
-3.9975701472827786E-7,-3.896062620535908E-7,-1.487792915531335E-6,-1.7957788601394686
-4.0005009164337E-7,-3.899145192718543E-7,-1.487792915531335E-6,-1.8401478768950095
-4.039560253467234E-7,-3.853797070858287E-7,-1.487792915531335E-6,-1.7728614428374518
-4.1259492567197177E-7,-3.844727906310156E-7,-1.487792915531335E-6,-1.8485730484028875
-4.066067264176156E-7,-3.8271161814839727E-7,-1.487792915531335E-6,-1.7492393423289112
-4.095407668676762E-7,-3.8579763107140023E-7,-1.487792915531335E-6,-1.8428118448888817
-4.0841981053317886E-7,-3.8088664070205744E-7,-1.487792915531335E-6,-1.8033178260444673
-3.9403365298848475E-7,-3.85184205287032E-7,-1.487792915531335E-6,-1.757188784310518
-3.933360122847082E-7,-3.845849777023743E-7,-1.487792915531335E-6,-1.7511070273097489
-3.9176148779884244E-7,-3.861698306337686E-7,-1.487792915531335E-6,-1.7614558604445614
-4.0047525323398886E-7,-3.8238995225276523E-7,-1.487792915531335E-6,-1.7468014633794113
-3.941776073757227E-7,-3.837378619801263E-7,-1.487792915531335E-6,-1.7426687732490227
-3.9510916245250006E-7,-3.847176681737883E-7,-1.487792915531335E-6,-1.7520519195578643
-3.977997974711636E-7,-3.8009191131860303E-7,-1.487792915531335E-6,-1.7918401667044175
-3.88355580796006E-7,-3.80307113874515E-7,-1.487792915531335E-6,-1.7133151401806959
-3.8717978440914843E-7,-3.792971819351487E-7,-1.487792915531335E-6,-1.77805885534501
-3.845260972153278E-7,-3.8196827658364976E-7,-1.487792915531335E-6,-1.7199015542528895
-3.979379313458416E-7,-3.897564595932824E-7,-1.487792915531335E-6,-1.7956347539756459
-3.8839558814211227E-7,-3.842152700372405E-7,-1.487792915531335E-6,-1.74151133159372
-4.0459983767680617E-7,-3.806007799733342E-7,-1.487792915531335E-6,-1.7952537102754702
-3.901682332616303E-7,-3.795208170757223E-7,-1.487792915531335E-6,-1.7784814397172488
-3.78853244938383E-7,-3.7867408048119864E-7,-1.487792915531335E-6,-1.7664860108590035
-4.190314420919823E-7,-3.816807428709462E-7,-1.487792915531335E-6,-1.8790261805892243
-4.3813881396902143E-7,-4.306910799752118E-7,-1.487792915531335E-6,-1.7729948295519178
-4.3819805516553134E-7,-4.3096979816503903E-7,-1.487792915531335E-6,-1.7209255769885277
-4.383465513585356E-7,-4.308734586739059E-7,-1.487792915531335E-6,-1.7199379602006215
-4.42093583037379E-7,-4.2526744712172684E-7,-1.487792915531335E-6,-1.7830336450540696
-4.426866562475822E-7,-4.2805774004829034E-7,-1.487792915531335E-6,-1.7278599533168826
-4.441732756792678E-7,-4.270932698039045E-7,-1.487792915531335E-6,-1.718713466971747
-4.460483521057366E-7,-4.198438142682418E-7,-1.487792915531335E-6,-1.7884856770542314
