% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:40"
% Dimension,3
% Nodes,34928
% Expressions,1
% Description,Slice
% X,Y,Z,real(ewfd.Ey)
9.235291205601559E-8,2.4363715674944616E-7,-1.5640000000000002E-6,-5.962684283608658E7
9.196246713673655E-8,2.4408578173377697E-7,-1.5640000000000002E-6,-5.9625932204425424E7
9.266071064373725E-8,2.441594257684149E-7,-1.5640000000000002E-6,-5.966863806626061E7
8.613802477193043E-8,2.5077812228073964E-7,-1.5640000000000002E-6,-5.961215355916038E7
8.574757985265139E-8,2.5122674726507045E-7,-1.5640000000000002E-6,-5.961124000919849E7
8.644582335965207E-8,2.513003912997084E-7,-1.5640000000000002E-6,-5.964853372869832E7
7.992313748784544E-8,2.5791908781203306E-7,-1.5640000000000002E-6,-5.95974178303296E7
7.953269256856623E-8,2.5836771279636403E-7,-1.5640000000000002E-6,-5.959650136206697E7
8.023093607556722E-8,2.5844135683100203E-7,-1.5640000000000002E-6,-5.9628422019860916E7
9.72522805314024E-8,2.519503474828637E-7,-1.5640000000000002E-6,-5.965182223399825E7
9.686183561212336E-8,2.523989724671945E-7,-1.5640000000000002E-6,-5.965055998575692E7
9.756007911912406E-8,2.5247261650183245E-7,-1.5640000000000002E-6,-5.965070871515581E7
9.103739324731723E-8,2.590913130141572E-7,-1.5640000000000002E-6,-5.963165587935055E7
9.06469483280382E-8,2.59539937998488E-7,-1.5640000000000002E-6,-5.963039316801524E7
9.134519183503891E-8,2.5961358203312593E-7,-1.5640000000000002E-6,-5.963053820315632E7
1.0215164900678922E-7,2.602635382162812E-7,-1.5640000000000002E-6,-5.963399495564285E7
1.0176120408751018E-7,2.60712163200612E-7,-1.5640000000000002E-6,-5.963272855004973E7
1.0245944759451089E-7,2.6078580723524993E-7,-1.5640000000000002E-6,-5.9632888279307194E7
9.65540370244017E-8,2.5187670344822576E-7,-1.5640000000000002E-6,-5.965168450445794E7
9.033914974031655E-8,2.5901766897951923E-7,-1.5640000000000002E-6,-5.963152184406805E7
1.0145340549978852E-7,2.6018989418164324E-7,-1.5640000000000002E-6,-5.963384622624396E7
1.0307672289620852E-7,2.45258006935901E-7,-1.5640000000000002E-6,-5.966783847560751E7
1.0276892430848686E-7,2.447357379169322E-7,-1.5640000000000002E-6,-5.96685704974273E7
1.0797609137159533E-7,2.5357119766931846E-7,-1.5640000000000002E-6,-5.9656215261184275E7
1.0766829278387367E-7,2.530489286503497E-7,-1.5640000000000002E-6,-5.965694258454599E7
1.1287545984698216E-7,2.618843884027361E-7,-1.5640000000000002E-6,-5.9644666834230036E7
1.1256766125926038E-7,2.6136211938376714E-7,-1.5640000000000002E-6,-5.964538945913369E7
8.482250596323211E-8,2.662322785454508E-7,-1.5640000000000002E-6,-5.957587819376429E7
9.593676172270408E-8,2.674045037475747E-7,-1.5640000000000002E-6,-5.957894876306914E7
1.070510174821762E-7,2.6857672894969866E-7,-1.5640000000000002E-6,-5.9582584573579594E7
8.41242624562314E-8,2.661586345108128E-7,-1.5640000000000002E-6,-5.957572179747442E7
9.523851821570337E-8,2.6733085971293677E-7,-1.5640000000000002E-6,-5.957875685598932E7
1.0635277397517522E-7,2.6850308491506067E-7,-1.5640000000000002E-6,-5.958235715570983E7
9.81773544208217E-8,2.369448162024834E-7,-1.5640000000000002E-6,-5.957747301861544E7
7.370825020376012E-8,2.650600533433267E-7,-1.5640000000000002E-6,-5.962914030065871E7
1.1746702973464733E-7,2.696753101171848E-7,-1.5640000000000002E-6,-5.959701691425959E7
1.0089457128161358E-7,2.7786981362275694E-7,-1.5640000000000002E-6,-5.9542979657574296E7
1.1131058353408485E-7,2.78968394790243E-7,-1.5640000000000002E-6,-5.954773272557439E7
8.978031552214158E-8,2.76697588420633E-7,-1.5640000000000002E-6,-5.953882807264785E7
1.0019632777461288E-7,2.77796169588119E-7,-1.5640000000000002E-6,-5.9542740878555745E7
1.0052867745408193E-7,2.7849771779025E-7,-1.5640000000000002E-6,-5.954263212502608E7
9.507047476052013E-8,2.8786444649794623E-7,-1.5640000000000002E-6,-5.953735954380728E7
1.054864870129914E-7,2.889630276654323E-7,-1.5640000000000002E-6,-5.954156306916215E7
7.86660597626696E-8,2.755253632185089E-7,-1.5640000000000002E-6,-5.958457391779009E7
8.908207201514087E-8,2.76623944385995E-7,-1.5640000000000002E-6,-5.9538645621092804E7
8.941442169460993E-8,2.7732549258812607E-7,-1.5640000000000002E-6,-5.953851737901404E7
8.395621900104815E-8,2.866922212958222E-7,-1.5640000000000002E-6,-5.958414804902166E7
9.437223125351942E-8,2.877908024633083E-7,-1.5640000000000002E-6,-5.953715760370314E7
9.470458093298847E-8,2.8849235066543937E-7,-1.5640000000000002E-6,-5.953703515257021E7
8.924637823942669E-8,2.9785907937313547E-7,-1.5640000000000002E-6,-5.958363285691185E7
9.966239049189795E-8,2.989576605406215E-7,-1.5640000000000002E-6,-5.953576176340142E7
1.0122692096108264E-7,2.78571361824888E-7,-1.5640000000000002E-6,-5.9542890392593734E7
9.011266520161063E-8,2.77399136622764E-7,-1.5640000000000002E-6,-5.953871931911818E7
9.540282443998918E-8,2.885659947000773E-7,-1.5640000000000002E-6,-5.953725658122346E7
1.1200882704108556E-7,2.7904203882488094E-7,-1.5640000000000002E-6,-5.954852310623608E7
1.061847305199921E-7,2.890366717000703E-7,-1.5640000000000002E-6,-5.954770231262232E7
1.0036063399889866E-7,2.990313045752594E-7,-1.5640000000000002E-6,-5.954707938590099E7
1.116429332135539E-7,2.796699429923741E-7,-1.5640000000000002E-6,-5.954848103647046E7
1.0581883669246045E-7,2.8966457586756337E-7,-1.5640000000000002E-6,-5.9547672673673116E7
9.999474017136702E-8,2.996592087427525E-7,-1.5640000000000002E-6,-5.954706217776819E7
7.899840944213866E-8,2.7622691142064E-7,-1.5640000000000002E-6,-5.958454534696531E7
8.42885686805172E-8,2.873937694979533E-7,-1.5640000000000002E-6,-5.95841138665352E7
8.957872791889575E-8,2.985606275752665E-7,-1.5640000000000002E-6,-5.958359306276371E7
9.453653747780523E-8,3.090259374504487E-7,-1.5640000000000002E-6,-5.962211512301697E7
1.5264966726311227E-7,3.6933789499854727E-7,-1.5640000000000002E-6,-5.9513053354243375E7
1.4988377836305945E-7,3.755666418970918E-7,-1.5640000000000002E-6,-5.94863580534711E7
1.5700919898813477E-7,3.75539577571949E-7,-1.5640000000000002E-6,-5.949173621170741E7
1.4059741194300893E-7,3.69383672809269E-7,-1.5640000000000002E-6,-5.9516898221050315E7
1.378315230429563E-7,3.7561241970781345E-7,-1.5640000000000002E-6,-5.947689310661499E7
1.4495694366803162E-7,3.755853553826707E-7,-1.5640000000000002E-6,-5.948244842912015E7
1.4797131899926876E-7,3.7987347624990197E-7,-1.5640000000000002E-6,-5.9483598106798336E7
1.4520543009921586E-7,3.8610222314844624E-7,-1.5640000000000002E-6,-5.947966545103744E7
1.5233085072429086E-7,3.860751588233035E-7,-1.5640000000000002E-6,-5.948507005691679E7
1.285451566229058E-7,3.6942945061999065E-7,-1.5640000000000002E-6,-5.952046412773688E7
1.2577926772285315E-7,3.756581975185352E-7,-1.5640000000000002E-6,-5.946712849618612E7
1.329046883479285E-7,3.7563113319339236E-7,-1.5640000000000002E-6,-5.9472860982960135E7
1.3591906367916563E-7,3.799192540606236E-7,-1.5640000000000002E-6,-5.9474114872858256E7
1.3315317477911273E-7,3.86148000959168E-7,-1.5640000000000002E-6,-5.947015576945433E7
1.4027859540418773E-7,3.8612093663402515E-7,-1.5640000000000002E-6,-5.947573753960252E7
1.4329297073542506E-7,3.9040905750125666E-7,-1.5640000000000002E-6,-5.947690976518683E7
1.4052708183537235E-7,3.9663780439980094E-7,-1.5640000000000002E-6,-5.947298327162784E7
1.4765250246044735E-7,3.9661074007465816E-7,-1.5640000000000002E-6,-5.947841432515021E7
1.1649290130280284E-7,3.694752284307123E-7,-1.5640000000000002E-6,-5.9523751074303046E7
1.1372701240275002E-7,3.757039753292569E-7,-1.5640000000000002E-6,-5.955123799423624E7
1.2085243302782533E-7,3.756769110041141E-7,-1.5640000000000002E-6,-5.946297387322739E7
1.2386680835906248E-7,3.799650318713454E-7,-1.5640000000000002E-6,-5.946433197534542E7
1.2110091945900958E-7,3.861937787698896E-7,-1.5640000000000002E-6,-5.954655159376626E7
1.282263400840846E-7,3.861667144447469E-7,-1.5640000000000002E-6,-5.946610535871552E7
1.312407154153219E-7,3.904548353119784E-7,-1.5640000000000002E-6,-5.9467381796519764E7
1.2847482651526922E-7,3.9668358221052263E-7,-1.5640000000000002E-6,-5.95417263914438E7
1.3560024714034422E-7,3.9665651788537985E-7,-1.5640000000000002E-6,-5.9469037073108956E7
1.3861462247158155E-7,4.0094463875261136E-7,-1.5640000000000002E-6,-5.9470231846599415E7
1.358487335715289E-7,4.0717338565115585E-7,-1.5640000000000002E-6,-5.9536762387268886E7
1.4297415419660423E-7,4.0714632132601307E-7,-1.5640000000000002E-6,-5.947176901640767E7
1.5289815369429657E-7,3.79854762764323E-7,-1.5640000000000002E-6,-5.948740351892938E7
1.4084589837419344E-7,3.7990054057504475E-7,-1.5640000000000002E-6,-5.9478042784293175E7
1.4821980543045322E-7,3.9039034401567775E-7,-1.5640000000000002E-6,-5.948073346440184E7
1.287936430540903E-7,3.7994631838576643E-7,-1.5640000000000002E-6,-5.946838238608424E7
1.3616755011035006E-7,3.904361218263995E-7,-1.5640000000000002E-6,-5.947132799503866E7
1.435414571666097E-7,4.0092592526703245E-7,-1.5640000000000002E-6,-5.947407383289838E7
1.5757650195814008E-7,3.6931918151296836E-7,-1.5640000000000002E-6,-5.951139703114678E7
1.619360336831626E-7,3.755208640863701E-7,-1.5640000000000002E-6,-5.954114050167611E7
1.455242466380371E-7,3.693649593236901E-7,-1.5640000000000002E-6,-5.951535593390493E7
1.5725768541931901E-7,3.860564453377246E-7,-1.5640000000000002E-6,-5.953309335839745E7
1.3347199131793394E-7,3.694107371344118E-7,-1.5640000000000002E-6,-5.951903587654269E7
1.525793371554755E-7,3.9659202658907925E-7,-1.5640000000000002E-6,-5.952500926532143E7
1.2141973599783068E-7,3.6945651494513337E-7,-1.5640000000000002E-6,-5.952243685906007E7
1.4790098889163204E-7,4.0712760784043416E-7,-1.5640000000000002E-6,-5.9516888222448096E7
1.600235743193719E-7,3.798276984391802E-7,-1.5640000000000002E-6,-5.9537842496352695E7
1.5534522605552822E-7,3.9036327969053503E-7,-1.5640000000000002E-6,-5.952978024838709E7
1.506668777916847E-7,4.0089886094188967E-7,-1.5640000000000002E-6,-5.952168105062416E7
