% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:47"
% Dimension,3
% Nodes,35935
% Expressions,1
% Description,Slice
% X,Y,Z,real(ewfd.Ey)
-3.8903664384399723E-7,-4.0413424587520087E-7,-1.487792915531335E-6,2.8527702148892947E7
-3.8885480688448944E-7,-4.035972901602731E-7,-1.487792915531335E-6,2.854031852679602E7
-3.886930685923013E-7,-4.038391372797485E-7,-1.487792915531335E-6,2.8541463292361822E7
-3.869199032982662E-7,-4.097735939458934E-7,-1.487792915531335E-6,2.853932532832523E7
-3.861818503930096E-7,-4.075941595422973E-7,-1.487792915531335E-6,2.8548862734137148E7
-3.855253754015458E-7,-4.0857578599293716E-7,-1.487792915531335E-6,2.8556078168978803E7
-3.833585716515185E-7,-3.9925715446268374E-7,-1.487792915531335E-6,2.85444197003115E7
-3.8292367113416236E-7,-3.9797291434531955E-7,-1.487792915531335E-6,2.8542726869422838E7
-3.825368407167416E-7,-3.9855134151252293E-7,-1.487792915531335E-6,2.8548786815147616E7
-3.797972400047708E-7,-3.8874071497947414E-7,-1.487792915531335E-6,2.8537510949556094E7
-3.7966549187531507E-7,-3.8835166914834175E-7,-1.487792915531335E-6,2.853698566033304E7
-3.7954830603193746E-7,-3.885268970321086E-7,-1.487792915531335E-6,2.8541930037838165E7
-3.911533843897283E-7,-3.9849489780450845E-7,-1.4877929155313349E-6,2.85091299651391E7
-3.8826958411712205E-7,-3.899791755812712E-7,-1.487792915531335E-6,2.851268096066209E7
-3.85704533907497E-7,-3.938146927993342E-7,-1.487792915531335E-6,2.8531964708732076E7
-3.8690048478904614E-7,-3.9782627187664917E-7,-1.487792915531335E-6,2.853729421354682E7
-3.8559662762564215E-7,-3.9397604496329524E-7,-1.487792915531335E-6,2.8532330138715357E7
-3.850136330813162E-7,-3.948477961689476E-7,-1.487792915531335E-6,2.8536772865405686E7
-3.8275331711296516E-7,-3.912797912346529E-7,-1.487792915531335E-6,2.8536156655089647E7
-3.8547531219724954E-7,-3.9361780639199137E-7,-1.487792915531335E-6,2.853213808453213E7
-3.8233844836679497E-7,-3.8435479976631766E-7,-1.4877929155313349E-6,2.851989854684184E7
-3.8029862190432727E-7,-3.8740495039857347E-7,-1.487792915531335E-6,2.8535243817978315E7
-3.855703517134623E-7,-3.9336460534972164E-7,-1.487792915531335E-6,2.8531645936582945E7
-3.897286442583047E-7,-4.0229064193932246E-7,-1.487792915531335E-6,2.852419654948636E7
-3.8889419125663726E-7,-4.045137632068425E-7,-1.487792915531335E-6,2.8529134277793948E7
-3.914466760032022E-7,-3.9771352027671925E-7,-1.4877929155313349E-6,2.850749120122073E7
-3.888722270982527E-7,-3.890780440861456E-7,-1.487792915531335E-6,2.8572407435865983E7
-3.827159992226929E-7,-3.8379024831891995E-7,-1.487792915531335E-6,2.8587632696100228E7
-3.782495075719831E-7,-3.8417033623351357E-7,-1.487792915531335E-6,2.853896505746483E7
-3.8759205274298074E-7,-3.879784583212989E-7,-1.487792915531335E-6,2.8574730927519843E7
-3.8191398055050185E-7,-3.8310136690878177E-7,-1.487792915531335E-6,2.858907656628801E7
-3.830178669668973E-7,-4.001648482798448E-7,-1.487792915531335E-6,2.8550812429210577E7
-3.7969402742372233E-7,-3.890156904227237E-7,-1.487792915531335E-6,2.854255699883017E7
-3.863417065100723E-7,-4.1131400613696583E-7,-1.487792915531335E-6,2.8546411038974043E7
-3.932701249354593E-7,-3.92855549733816E-7,-1.487792915531335E-6,2.8529486844259173E7
-3.7655977134713326E-7,-3.785024525516943E-7,-1.487792915531335E-6,2.8532850751067787E7
-3.997117251809635E-7,-3.9006129669954914E-7,-1.487792915531335E-6,2.8595660673837267E7
-3.994922401602679E-7,-3.898727734696E-7,-1.487792915531335E-6,2.8641242296634074E7
-3.989968783823568E-7,-3.9037138468388764E-7,-1.487792915531335E-6,2.8594699036655758E7
-4.0615332542646765E-7,-3.8726704366528235E-7,-1.487792915531335E-6,2.860616816741327E7
-3.9975701472827786E-7,-3.896062620535908E-7,-1.487792915531335E-6,2.8642976788056955E7
-4.0005009164337E-7,-3.899145192718543E-7,-1.487792915531335E-6,2.8597009738348536E7
-4.039560253467234E-7,-3.853797070858287E-7,-1.487792915531335E-6,2.8657977369415287E7
-4.1259492567197177E-7,-3.844727906310156E-7,-1.487792915531335E-6,2.8625257608360637E7
-4.066067264176156E-7,-3.8271161814839727E-7,-1.487792915531335E-6,2.867600305322492E7
-4.095407668676762E-7,-3.8579763107140023E-7,-1.487792915531335E-6,2.862020011295729E7
-4.0841981053317886E-7,-3.8088664070205744E-7,-1.487792915531335E-6,2.86003071961115E7
-3.9403365298848475E-7,-3.85184205287032E-7,-1.487792915531335E-6,2.8656633167613354E7
-3.933360122847082E-7,-3.845849777023743E-7,-1.487792915531335E-6,2.865925736636972E7
-3.9176148779884244E-7,-3.861698306337686E-7,-1.487792915531335E-6,2.865402028528481E7
-4.0047525323398886E-7,-3.8238995225276523E-7,-1.487792915531335E-6,2.866771785746696E7
-3.941776073757227E-7,-3.837378619801263E-7,-1.487792915531335E-6,2.8664773241434827E7
-3.9510916245250006E-7,-3.847176681737883E-7,-1.487792915531335E-6,2.866058432893424E7
-3.977997974711636E-7,-3.8009191131860303E-7,-1.487792915531335E-6,2.859039986644738E7
-3.88355580796006E-7,-3.80307113874515E-7,-1.487792915531335E-6,2.8673460655934393E7
-3.8717978440914843E-7,-3.792971819351487E-7,-1.487792915531335E-6,2.858584893410003E7
-3.845260972153278E-7,-3.8196827658364976E-7,-1.487792915531335E-6,2.8669086227414932E7
-3.979379313458416E-7,-3.897564595932824E-7,-1.487792915531335E-6,2.8641882430189434E7
-3.8839558814211227E-7,-3.842152700372405E-7,-1.487792915531335E-6,2.866137766242911E7
-4.0459983767680617E-7,-3.806007799733342E-7,-1.487792915531335E-6,2.8599398859656036E7
-3.901682332616303E-7,-3.795208170757223E-7,-1.487792915531335E-6,2.8589460861944474E7
-3.78853244938383E-7,-3.7867408048119864E-7,-1.487792915531335E-6,2.8585779837878708E7
-4.190314420919823E-7,-3.816807428709462E-7,-1.487792915531335E-6,2.8588772819893487E7
-4.3813881396902143E-7,-4.306910799752118E-7,-1.487792915531335E-6,2.8493535424391538E7
-4.3819805516553134E-7,-4.3096979816503903E-7,-1.487792915531335E-6,2.85315014966925E7
-4.383465513585356E-7,-4.308734586739059E-7,-1.487792915531335E-6,2.8532408999246612E7
-4.42093583037379E-7,-4.2526744712172684E-7,-1.487792915531335E-6,2.851251640867902E7
-4.426866562475822E-7,-4.2805774004829034E-7,-1.487792915531335E-6,2.853552157887712E7
-4.441732756792678E-7,-4.270932698039045E-7,-1.487792915531335E-6,2.854475801115567E7
-4.460483521057366E-7,-4.198438142682418E-7,-1.487792915531335E-6,2.8539840665436402E7
-4.471752573296332E-7,-4.251456819315417E-7,-1.487792915531335E-6,2.854721641246166E7
-4.5000000000000003E-7,-4.233130809339032E-7,-1.487792915531335E-6,2.8565054107288398E7
-4.483728704217309E-7,-4.307802162219961E-7,-1.487792915531335E-6,2.853280104046925E7
-4.488368846433345E-7,-4.3296331196479935E-7,-1.487792915531335E-6,2.8519605984443784E7
-4.5000000000000003E-7,-4.322087206226021E-7,-1.487792915531335E-6,2.8526823057559133E7
-4.410211587162953E-7,-4.332215742951075E-7,-1.487792915531335E-6,2.852492127316779E7
-4.398596824792327E-7,-4.387874281982966E-7,-1.487792915531335E-6,2.8485740705938503E7
-4.441732756792678E-7,-4.359889094926035E-7,-1.487792915531335E-6,2.8512921856210545E7
-4.383465513585356E-7,-4.316684435764872E-7,-1.487792915531335E-6,2.852983942460096E7
-4.441732756792678E-7,-4.3505199238233563E-7,-1.487792915531335E-6,2.8518254907627404E7
-4.4434828356128363E-7,-4.35875370081548E-7,-1.4877929155313349E-6,2.85130806163628E7
-4.449353300648313E-7,-4.3549451343950846E-7,-1.487792915531335E-6,2.8516839497036397E7
-4.444181013533734E-7,-4.3620384907548116E-7,-1.487792915531335E-6,2.8512188029343706E7
