% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:40"
% Dimension,3
% Nodes,34928
% Expressions,1
% Description,Slice
% X,Y,Z,real(ewfd2.Ey)
9.235291205601559E-8,2.4363715674944616E-7,-1.5640000000000002E-6,-17.590064378554327
9.196246713673655E-8,2.4408578173377697E-7,-1.5640000000000002E-6,-17.58911518370258
9.266071064373725E-8,2.441594257684149E-7,-1.5640000000000002E-6,-17.69301712342456
8.613802477193043E-8,2.5077812228073964E-7,-1.5640000000000002E-6,-17.569262601410784
8.574757985265139E-8,2.5122674726507045E-7,-1.5640000000000002E-6,-17.56817434409019
8.644582335965207E-8,2.513003912997084E-7,-1.5640000000000002E-6,-17.642063287134523
7.992313748784544E-8,2.5791908781203306E-7,-1.5640000000000002E-6,-17.546247304442403
7.953269256856623E-8,2.5836771279636403E-7,-1.5640000000000002E-6,-17.545019984652956
8.023093607556722E-8,2.5844135683100203E-7,-1.5640000000000002E-6,-17.589465313549578
9.72522805314024E-8,2.519503474828637E-7,-1.5640000000000002E-6,-17.684391427306767
9.686183561212336E-8,2.523989724671945E-7,-1.5640000000000002E-6,-17.68133063433917
9.756007911912406E-8,2.5247261650183245E-7,-1.5640000000000002E-6,-17.684094561579613
9.103739324731723E-8,2.590913130141572E-7,-1.5640000000000002E-6,-17.63285565076671
9.06469483280382E-8,2.59539937998488E-7,-1.5640000000000002E-6,-17.629691566295342
9.134519183503891E-8,2.5961358203312593E-7,-1.5640000000000002E-6,-17.632519774332664
1.0215164900678922E-7,2.602635382162812E-7,-1.5640000000000002E-6,-17.67734395998314
1.0176120408751018E-7,2.60712163200612E-7,-1.5640000000000002E-6,-17.67424415630865
1.0245944759451089E-7,2.6078580723524993E-7,-1.5640000000000002E-6,-17.677172792319965
9.65540370244017E-8,2.5187670344822576E-7,-1.5640000000000002E-6,-17.68179220883721
9.033914974031655E-8,2.5901766897951923E-7,-1.5640000000000002E-6,-17.630192151500275
1.0145340549978852E-7,2.6018989418164324E-7,-1.5640000000000002E-6,-17.6745800327427
1.0307672289620852E-7,2.45258006935901E-7,-1.5640000000000002E-6,-17.74304231254071
1.0276892430848686E-7,2.447357379169322E-7,-1.5640000000000002E-6,-17.741855973909257
1.0797609137159533E-7,2.5357119766931846E-7,-1.5640000000000002E-6,-17.76158505990908
1.0766829278387367E-7,2.530489286503497E-7,-1.5640000000000002E-6,-17.7603113972364
1.1287545984698216E-7,2.618843884027361E-7,-1.5640000000000002E-6,-17.781517783293676
1.1256766125926038E-7,2.6136211938376714E-7,-1.5640000000000002E-6,-17.780156796579767
8.482250596323211E-8,2.662322785454508E-7,-1.5640000000000002E-6,-17.498907407249597
9.593676172270408E-8,2.674045037475747E-7,-1.5640000000000002E-6,-17.502973974693894
1.070510174821762E-7,2.6857672894969866E-7,-1.5640000000000002E-6,-17.51296951936331
8.41242624562314E-8,2.661586345108128E-7,-1.5640000000000002E-6,-17.499202940361283
9.523851821570337E-8,2.6733085971293677E-7,-1.5640000000000002E-6,-17.502897024938513
1.0635277397517522E-7,2.6850308491506067E-7,-1.5640000000000002E-6,-17.512520086740864
9.81773544208217E-8,2.369448162024834E-7,-1.5640000000000002E-6,-17.471970439384748
7.370825020376012E-8,2.650600533433267E-7,-1.5640000000000002E-6,-17.71874219904368
1.1746702973464733E-7,2.696753101171848E-7,-1.5640000000000002E-6,-17.59769759686615
1.0089457128161358E-7,2.7786981362275694E-7,-1.5640000000000002E-6,-17.36401995597999
1.1131058353408485E-7,2.78968394790243E-7,-1.5640000000000002E-6,-17.342306338518185
8.978031552214158E-8,2.76697588420633E-7,-1.5640000000000002E-6,-17.398022741454255
1.0019632777461288E-7,2.77796169588119E-7,-1.5640000000000002E-6,-17.36669426450655
1.0052867745408193E-7,2.7849771779025E-7,-1.5640000000000002E-6,-17.36502698606367
9.507047476052013E-8,2.8786444649794623E-7,-1.5640000000000002E-6,-17.37727422702927
1.054864870129914E-7,2.889630276654323E-7,-1.5640000000000002E-6,-17.349321325273202
7.86660597626696E-8,2.755253632185089E-7,-1.5640000000000002E-6,-17.58991829599436
8.908207201514087E-8,2.76623944385995E-7,-1.5640000000000002E-6,-17.40134158774095
8.941442169460993E-8,2.7732549258812607E-7,-1.5640000000000002E-6,-17.399448025629923
8.395621900104815E-8,2.866922212958222E-7,-1.5640000000000002E-6,-17.57640531014374
9.437223125351942E-8,2.877908024633083E-7,-1.5640000000000002E-6,-17.38036678964782
9.470458093298847E-8,2.8849235066543937E-7,-1.5640000000000002E-6,-17.378542616082825
8.924637823942669E-8,2.9785907937313547E-7,-1.5640000000000002E-6,-17.560087091751527
