% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:48"
% Dimension,3
% Nodes,35935
% Expressions,1
% Description,Slice
% X,Y,Z,real(ewfd2.Ey)
-3.8903664384399723E-7,-4.0413424587520087E-7,-1.487792915531335E-6,-11.559392145553165
-3.8885480688448944E-7,-4.035972901602731E-7,-1.487792915531335E-6,-11.621669858254432
-3.886930685923013E-7,-4.038391372797485E-7,-1.487792915531335E-6,-11.626453967751099
-3.869199032982662E-7,-4.097735939458934E-7,-1.487792915531335E-6,-11.607846998111832
-3.861818503930096E-7,-4.075941595422973E-7,-1.487792915531335E-6,-11.65575291046325
-3.855253754015458E-7,-4.0857578599293716E-7,-1.487792915531335E-6,-11.674523554297235
-3.833585716515185E-7,-3.9925715446268374E-7,-1.487792915531335E-6,-11.624939773400436
-3.8292367113416236E-7,-3.9797291434531955E-7,-1.487792915531335E-6,-11.616113450855915
-3.825368407167416E-7,-3.9855134151252293E-7,-1.487792915531335E-6,-11.635046710966272
-3.797972400047708E-7,-3.8874071497947414E-7,-1.487792915531335E-6,-11.581001720682911
-3.7966549187531507E-7,-3.8835166914834175E-7,-1.487792915531335E-6,-11.57828616861434
-3.7954830603193746E-7,-3.885268970321086E-7,-1.487792915531335E-6,-11.598000078153564
-3.911533843897283E-7,-3.9849489780450845E-7,-1.4877929155313349E-6,-11.483236728997912
-3.8826958411712205E-7,-3.899791755812712E-7,-1.487792915531335E-6,-11.494566043818764
-3.85704533907497E-7,-3.938146927993342E-7,-1.487792915531335E-6,-11.572649586337732
-3.8690048478904614E-7,-3.9782627187664917E-7,-1.487792915531335E-6,-11.60032751236885
-3.8559662762564215E-7,-3.9397604496329524E-7,-1.487792915531335E-6,-11.574001568863721
-3.850136330813162E-7,-3.948477961689476E-7,-1.487792915531335E-6,-11.592015880850576
-3.8275331711296516E-7,-3.912797912346529E-7,-1.487792915531335E-6,-11.582526960351572
-3.8547531219724954E-7,-3.9361780639199137E-7,-1.487792915531335E-6,-11.572651765966288
-3.8233844836679497E-7,-3.8435479976631766E-7,-1.4877929155313349E-6,-11.508322612129383
-3.8029862190432727E-7,-3.8740495039857347E-7,-1.487792915531335E-6,-11.571072872309228
-3.855703517134623E-7,-3.9336460534972164E-7,-1.487792915531335E-6,-11.570652401646269
-3.897286442583047E-7,-4.0229064193932246E-7,-1.487792915531335E-6,-11.544773622828547
-3.8889419125663726E-7,-4.045137632068425E-7,-1.487792915531335E-6,-11.56541963428667
-3.914466760032022E-7,-3.9771352027671925E-7,-1.4877929155313349E-6,-11.476783012095273
-3.888722270982527E-7,-3.890780440861456E-7,-1.487792915531335E-6,-11.756206065665959
-3.827159992226929E-7,-3.8379024831891995E-7,-1.487792915531335E-6,-11.81448702055019
-3.782495075719831E-7,-3.8417033623351357E-7,-1.487792915531335E-6,-11.582268448329428
-3.8759205274298074E-7,-3.879784583212989E-7,-1.487792915531335E-6,-11.764373428806682
-3.8191398055050185E-7,-3.8310136690878177E-7,-1.487792915531335E-6,-11.819675997390195
-3.830178669668973E-7,-4.001648482798448E-7,-1.487792915531335E-6,-11.644768800468007
-3.7969402742372233E-7,-3.890156904227237E-7,-1.487792915531335E-6,-11.60096321107921
-3.863417065100723E-7,-4.1131400613696583E-7,-1.487792915531335E-6,-11.618084514532695
-3.932701249354593E-7,-3.92855549733816E-7,-1.487792915531335E-6,-11.56692926924401
-3.7655977134713326E-7,-3.785024525516943E-7,-1.487792915531335E-6,-11.589101561165483
-3.997117251809635E-7,-3.9006129669954914E-7,-1.487792915531335E-6,-11.835194011570351
-3.994922401602679E-7,-3.898727734696E-7,-1.487792915531335E-6,-12.056133096912363
-3.989968783823568E-7,-3.9037138468388764E-7,-1.487792915531335E-6,-11.831275641286451
-4.0615332542646765E-7,-3.8726704366528235E-7,-1.487792915531335E-6,-11.877426716757991
-3.9975701472827786E-7,-3.896062620535908E-7,-1.487792915531335E-6,-12.063972718589115
-4.0005009164337E-7,-3.899145192718543E-7,-1.487792915531335E-6,-11.84086767200763
-4.039560253467234E-7,-3.853797070858287E-7,-1.487792915531335E-6,-12.133506659560702
-4.1259492567197177E-7,-3.844727906310156E-7,-1.487792915531335E-6,-11.955798226934402
-4.066067264176156E-7,-3.8271161814839727E-7,-1.487792915531335E-6,-12.214347634643433
-4.095407668676762E-7,-3.8579763107140023E-7,-1.487792915531335E-6,-11.935949834209165
-4.0841981053317886E-7,-3.8088664070205744E-7,-1.487792915531335E-6,-11.885377794506407
-3.9403365298848475E-7,-3.85184205287032E-7,-1.487792915531335E-6,-12.124793104709285
-3.933360122847082E-7,-3.845849777023743E-7,-1.487792915531335E-6,-12.136482175725948
-3.9176148779884244E-7,-3.861698306337686E-7,-1.487792915531335E-6,-12.112119079530139
-4.0047525323398886E-7,-3.8238995225276523E-7,-1.487792915531335E-6,-12.176376827439139
-3.941776073757227E-7,-3.837378619801263E-7,-1.487792915531335E-6,-12.161234886861786
-3.9510916245250006E-7,-3.847176681737883E-7,-1.487792915531335E-6,-12.142706420372122
-3.977997974711636E-7,-3.8009191131860303E-7,-1.487792915531335E-6,-11.845437867652965
-3.88355580796006E-7,-3.80307113874515E-7,-1.487792915531335E-6,-12.200088449509822
