% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:42"
% Dimension,3
% Nodes,34928
% Expressions,1
% Description,Slice
% X,Y,Z,imag(ewfd2.Ey)
9.235291205601559E-8,2.4363715674944616E-7,-1.5640000000000002E-6,-16.543127957360056
9.196246713673655E-8,2.4408578173377697E-7,-1.5640000000000002E-6,-16.538852269396322
9.266071064373725E-8,2.441594257684149E-7,-1.5640000000000002E-6,-16.636757922353617
8.613802477193043E-8,2.5077812228073964E-7,-1.5640000000000002E-6,-16.4798607687313
8.574757985265139E-8,2.5122674726507045E-7,-1.5640000000000002E-6,-16.47580089413519
8.644582335965207E-8,2.513003912997084E-7,-1.5640000000000002E-6,-16.570733959993447
7.992313748784544E-8,2.5791908781203306E-7,-1.5640000000000002E-6,-16.42002877848253
7.953269256856623E-8,2.5836771279636403E-7,-1.5640000000000002E-6,-16.416184717254044
8.023093607556722E-8,2.5844135683100203E-7,-1.5640000000000002E-6,-16.507784294600803
9.72522805314024E-8,2.519503474828637E-7,-1.5640000000000002E-6,-16.567708754215612
9.686183561212336E-8,2.523989724671945E-7,-1.5640000000000002E-6,-16.563377188153133
9.756007911912406E-8,2.5247261650183245E-7,-1.5640000000000002E-6,-16.563134374650353
9.103739324731723E-8,2.590913130141572E-7,-1.5640000000000002E-6,-16.500147877709693
9.06469483280382E-8,2.59539937998488E-7,-1.5640000000000002E-6,-16.496009451695688
9.134519183503891E-8,2.5961358203312593E-7,-1.5640000000000002E-6,-16.49547047020081
1.0215164900678922E-7,2.602635382162812E-7,-1.5640000000000002E-6,-16.49471786493975
1.0176120408751018E-7,2.60712163200612E-7,-1.5640000000000002E-6,-16.49028327093365
1.0245944759451089E-7,2.6078580723524993E-7,-1.5640000000000002E-6,-16.49018589600424
9.65540370244017E-8,2.5187670344822576E-7,-1.5640000000000002E-6,-16.568097006291758
