% Model,Simulation_for_Phase_Linear.mph
% Version,COMSOL 6.1.0.357
% Date,"Mar 1 2024, 09:52"
% Dimension,3
% Nodes,7189
% Expressions,1
% Description,Slice
% X,Y,Z,imag(ewfd2.Ey)
-3.8718930755746954E-7,-3.8406217063123515E-7,-1.4577929155313352E-6,3244.2243232856854
-3.8794176410846486E-7,-3.865861362916407E-7,-1.4577929155313352E-6,3186.68430922613
-3.8847471937195615E-7,-3.851662550298599E-7,-1.4577929155313352E-6,3283.5793165087007
-3.9045635915322714E-7,-3.843066545019468E-7,-1.4577929155313352E-6,3210.911713956114
-3.8791648260441703E-7,-3.8164441765786244E-7,-1.4577929155313352E-6,3112.792345910773
-4.5000000000000003E-7,-4.5000000000000003E-7,-1.4577929155313352E-6,3400.2566036644703
-4.5000000000000003E-7,-4.4726342014171413E-7,-1.4577929155313352E-6,3146.575971672762
-4.487833880692821E-7,-4.489319009868231E-7,-1.4577929155313352E-6,3295.2792717995226
-4.4791772200570037E-7,-4.5000000000000003E-7,-1.4577929155313354E-6,3266.6310409268376
-4.0355632668124817E-7,-3.9815753049511135E-7,-1.4577929155313352E-6,3088.0037840903738
-4.039559438115401E-7,-4.015348849120607E-7,-1.4577929155313352E-6,3173.5234716216955
-4.059375835928111E-7,-4.006752843841476E-7,-1.4577929155313352E-6,3086.6172016937035
-4.190375511208321E-7,-4.1452616037731235E-7,-1.4577929155313352E-6,3079.4719905399356
-4.19437168251124E-7,-4.179035147942614E-7,-1.4577929155313352E-6,3175.04489686898
-4.214188080323948E-7,-4.1704391426634844E-7,-1.4577929155313352E-6,3078.379703141332
-4.345187755604161E-7,-4.3089479025951335E-7,-1.4577929155313352E-6,3072.853491978537
-4.3491839269070796E-7,-4.3427214467646214E-7,-1.4577929155313352E-6,3179.5888610595657
-4.369000324719787E-7,-4.3341254414854923E-7,-1.4577929155313352E-6,3072.055499577999
-4.0233971475053E-7,-3.9982601134022045E-7,-1.4577929155313352E-6,3173.938181285044
-4.17820939190114E-7,-4.1619464122242135E-7,-1.4577929155313352E-6,3175.144055569466
-4.333021636296981E-7,-4.3256327110462224E-7,-1.4577929155313352E-6,3179.37246879719
-4.3438543742721677E-7,-4.356920259382426E-7,-1.4577929155313354E-6,3128.550992574471
-4.324364975661164E-7,-4.3363137011779925E-7,-1.4577929155313352E-6,3127.2074123558887
-4.189042129876327E-7,-4.1932339605604204E-7,-1.4577929155313352E-6,3118.1198065213166
-4.169552731265322E-7,-4.1726274023559846E-7,-1.4577929155313352E-6,3117.209486540544
-4.0342298854804883E-7,-4.0295476617384136E-7,-1.4577929155313352E-6,3111.1301832973395
-4.0147404868694814E-7,-4.008941103533977E-7,-1.4577929155313352E-6,3110.6531235543753
-2.9339264895519226E-7,-2.445952621558704E-7,-1.4577929155313352E-6,3114.1220309246137
-2.899345875969991E-7,-2.4827893866664305E-7,-1.457792915531335E-6,3032.2810962245553
-2.941452962405205E-7,-2.4745246843572557E-7,-1.4577929155313352E-6,3072.8581630789877
-1.4366212053573893E-7,-2.8829841570387117E-7,-1.4577929155313352E-6,3132.584108327867
-1.4066591139456165E-7,-2.89753802083997E-7,-1.4577929155313352E-6,3149.2932313123433
-1.433829178990369E-7,-2.9161224828663987E-7,-1.4577929155313352E-6,3158.244186752921
-1.4053512418364424E-7,-2.9323525712727374E-7,-1.4577929155313352E-6,3109.4013452724457
-1.4142418761372392E-7,-2.8539894355455425E-7,-1.4577929155313352E-6,3072.5970009810817
-3.0310329252430904E-7,-3.5473661955969627E-7,-1.4577929155313352E-6,3055.1298161359837
-3.016650465973746E-7,-3.592160671484538E-7,-1.4577929155313352E-6,3281.4161487371107
-3.0417184016879356E-7,-3.5917234762595777E-7,-1.4577929155313352E-6,3201.437193416132
-3.0250558515226365E-7,-3.613381075138236E-7,-1.4577929155313352E-6,3352.5997484992545
-2.99755903399115E-7,-3.6014833174483317E-7,-1.4577929155313352E-6,3346.8624386146453
-2.9186841652613997E-7,-2.714391620591573E-7,-1.457792915531335E-6,2985.9872764424326
-2.923039968930715E-7,-2.766558275312213E-7,-1.457792915531335E-6,2988.791438091527
-2.939871217319848E-7,-2.734410886485636E-7,-1.4577929155313352E-6,2978.8182889290283
-2.942378258222123E-7,-2.998160509237356E-7,-1.457792915531335E-6,3001.0997541730962
-2.9467340618914383E-7,-3.050327163957996E-7,-1.457792915531335E-6,3003.9057874320415
-2.963565310280571E-7,-3.0181797751314194E-7,-1.4577929155313352E-6,2993.732168733957
-2.966072351182845E-7,-3.281929397883135E-7,-1.4577929155313352E-6,3016.222412825845
-2.97042815485216E-7,-3.3340960526037784E-7,-1.4577929155313352E-6,3019.030317694641
-2.9872594032412946E-7,-3.3019486637771993E-7,-1.4577929155313352E-6,3008.712016095792
-2.959950646360919E-7,-2.696059529659619E-7,-1.4577929155313352E-6,2987.5417618532256
-2.983644739321642E-7,-2.979828418305402E-7,-1.4577929155313352E-6,3002.1517625670067
-3.007338832282367E-7,-3.26359730695118E-7,-1.4577929155313352E-6,3016.7302617560617
-2.9651470553659285E-7,-2.7582935730030383E-7,-1.4577929155313352E-6,2990.8263755805037
-2.9888411483266524E-7,-3.042062461648821E-7,-1.4577929155313352E-6,3005.42946761848
-3.0125352412873773E-7,-3.325831350294603E-7,-1.4577929155313352E-6,3020.00105813173
-2.9897664441435687E-7,-3.5656982865289176E-7,-1.4577929155313352E-6,3102.128281285377
-3.00694270842467E-7,-3.634784281843377E-7,-1.457792915531335E-6,3255.462985613734
-3.610428044353231E-7,-3.0874674893521317E-7,-1.4577929155313352E-6,3053.9721692814674
-3.590928443045994E-7,-3.1557843750376556E-7,-1.4577929155313352E-6,3027.6566982368026
-3.621113520798075E-7,-3.1318247700147446E-7,-1.4577929155313352E-6,3027.4649070434334
-3.417296337983184E-7,-3.24076705810041E-7,-1.4577929155313352E-6,3057.98840517593
-3.397796736675947E-7,-3.3090839437859343E-7,-1.4577929155313352E-6,3034.1124476262985
-3.4279818144280277E-7,-3.285124338763023E-7,-1.4577929155313352E-6,3033.5025192297408
