% Model,Simulation_for_Phase_Linear.mph
% Version,COMSOL 6.1.0.357
% Date,"Mar 1 2024, 09:52"
% Dimension,3
% Nodes,7189
% Expressions,1
% Description,Slice
% X,Y,Z,real(ewfd2.Ey)
-3.8718930755746954E-7,-3.8406217063123515E-7,-1.4577929155313352E-6,340.7987491279819
-3.8794176410846486E-7,-3.865861362916407E-7,-1.4577929155313352E-6,308.68419896955766
-3.8847471937195615E-7,-3.851662550298599E-7,-1.4577929155313352E-6,374.3556872555253
-3.9045635915322714E-7,-3.843066545019468E-7,-1.4577929155313352E-6,318.566784239216
-3.8791648260441703E-7,-3.8164441765786244E-7,-1.4577929155313352E-6,254.04764079870583
-4.5000000000000003E-7,-4.5000000000000003E-7,-1.4577929155313352E-6,438.15262882409627
-4.5000000000000003E-7,-4.4726342014171413E-7,-1.4577929155313352E-6,253.10419818018627
-4.487833880692821E-7,-4.489319009868231E-7,-1.4577929155313352E-6,364.6361231586293
-4.4791772200570037E-7,-4.5000000000000003E-7,-1.4577929155313354E-6,373.6653155025011
-4.0355632668124817E-7,-3.9815753049511135E-7,-1.4577929155313352E-6,237.24620984328425
-4.039559438115401E-7,-4.015348849120607E-7,-1.4577929155313352E-6,296.82567280837384
-4.059375835928111E-7,-4.006752843841476E-7,-1.4577929155313352E-6,235.74023305045273
-4.190375511208321E-7,-4.1452616037731235E-7,-1.4577929155313352E-6,227.63005425715141
-4.19437168251124E-7,-4.179035147942614E-7,-1.4577929155313352E-6,295.29370624991634
-4.214188080323948E-7,-4.1704391426634844E-7,-1.4577929155313352E-6,225.98027639214865
-4.345187755604161E-7,-4.3089479025951335E-7,-1.4577929155313352E-6,217.07900724367371
-4.3491839269070796E-7,-4.3427214467646214E-7,-1.4577929155313352E-6,292.630262740396
-4.369000324719787E-7,-4.3341254414854923E-7,-1.4577929155313352E-6,215.28542830650147
-4.0233971475053E-7,-3.9982601134022045E-7,-1.4577929155313352E-6,296.68421700144154
-4.17820939190114E-7,-4.1619464122242135E-7,-1.4577929155313352E-6,295.2703758494914
-4.333021636296981E-7,-4.3256327110462224E-7,-1.4577929155313352E-6,292.7250577464788
-4.3438543742721677E-7,-4.356920259382426E-7,-1.4577929155313354E-6,279.7135368439323
-4.324364975661164E-7,-4.3363137011779925E-7,-1.4577929155313352E-6,278.6808643078178
-4.189042129876327E-7,-4.1932339605604204E-7,-1.4577929155313352E-6,270.9529844337186
-4.169552731265322E-7,-4.1726274023559846E-7,-1.4577929155313352E-6,269.85173062586756
-4.0342298854804883E-7,-4.0295476617384136E-7,-1.4577929155313352E-6,261.6476630025169
-4.0147404868694814E-7,-4.008941103533977E-7,-1.4577929155313352E-6,260.47782792292975
-2.9339264895519226E-7,-2.445952621558704E-7,-1.4577929155313352E-6,217.2620242310822
-2.899345875969991E-7,-2.4827893866664305E-7,-1.457792915531335E-6,192.80679087811032
-2.941452962405205E-7,-2.4745246843572557E-7,-1.4577929155313352E-6,212.94030012635903
-1.4366212053573893E-7,-2.8829841570387117E-7,-1.4577929155313352E-6,239.37970379099653
-1.4066591139456165E-7,-2.89753802083997E-7,-1.4577929155313352E-6,249.72071535526604
-1.433829178990369E-7,-2.9161224828663987E-7,-1.4577929155313352E-6,245.3831718198609
-1.4053512418364424E-7,-2.9323525712727374E-7,-1.4577929155313352E-6,227.65259668809145
-1.4142418761372392E-7,-2.8539894355455425E-7,-1.4577929155313352E-6,207.68010567892458
-3.0310329252430904E-7,-3.5473661955969627E-7,-1.4577929155313352E-6,163.52688110067479
-3.016650465973746E-7,-3.592160671484538E-7,-1.4577929155313352E-6,350.0544524748576
-3.0417184016879356E-7,-3.5917234762595777E-7,-1.4577929155313352E-6,296.3765943436889
-3.0250558515226365E-7,-3.613381075138236E-7,-1.4577929155313352E-6,441.6057563127822
-2.99755903399115E-7,-3.6014833174483317E-7,-1.4577929155313352E-6,421.255062852747
-2.9186841652613997E-7,-2.714391620591573E-7,-1.457792915531335E-6,182.53375618061756
-2.923039968930715E-7,-2.766558275312213E-7,-1.457792915531335E-6,182.74834777772332
-2.939871217319848E-7,-2.734410886485636E-7,-1.4577929155313352E-6,178.8907337341815
-2.942378258222123E-7,-2.998160509237356E-7,-1.457792915531335E-6,183.19235044224928
-2.9467340618914383E-7,-3.050327163957996E-7,-1.457792915531335E-6,183.3810501434313
-2.963565310280571E-7,-3.0181797751314194E-7,-1.4577929155313352E-6,179.48577528278548
-2.966072351182845E-7,-3.281929397883135E-7,-1.4577929155313352E-6,183.71010158158208
